,success,timestamp,base,date,rates
AED,True,1584406745,EUR,2020-03-17,4.102575
AFN,True,1584406745,EUR,2020-03-17,84.759415
ALL,True,1584406745,EUR,2020-03-17,122.185299
AMD,True,1584406745,EUR,2020-03-17,547.108381
ANG,True,1584406745,EUR,2020-03-17,1.997721
AOA,True,1584406745,EUR,2020-03-17,556.328853
ARS,True,1584406745,EUR,2020-03-17,70.336326
AUD,True,1584406745,EUR,2020-03-17,1.826184
AWG,True,1584406745,EUR,2020-03-17,2.010409
AZN,True,1584406745,EUR,2020-03-17,1.897603
BAM,True,1584406745,EUR,2020-03-17,1.951295
BBD,True,1584406745,EUR,2020-03-17,2.247715
BDT,True,1584406745,EUR,2020-03-17,94.804249
BGN,True,1584406745,EUR,2020-03-17,1.957155
BHD,True,1584406745,EUR,2020-03-17,0.4219
BIF,True,1584406745,EUR,2020-03-17,2116.514309
BMD,True,1584406745,EUR,2020-03-17,1.116894
BND,True,1584406745,EUR,2020-03-17,1.586157
BOB,True,1584406745,EUR,2020-03-17,7.678113
BRL,True,1584406745,EUR,2020-03-17,5.58514
BSD,True,1584406745,EUR,2020-03-17,1.115926
BTC,True,1584406745,EUR,2020-03-17,0.000221
BTN,True,1584406745,EUR,2020-03-17,82.704958
BWP,True,1584406745,EUR,2020-03-17,12.821146
BYN,True,1584406745,EUR,2020-03-17,2.648045
BYR,True,1584406745,EUR,2020-03-17,21891.124249
BZD,True,1584406745,EUR,2020-03-17,2.243256
CAD,True,1584406745,EUR,2020-03-17,1.562976
CDF,True,1584406745,EUR,2020-03-17,1904.304011
CHF,True,1584406745,EUR,2020-03-17,1.059218
CLF,True,1584406745,EUR,2020-03-17,0.034539
CLP,True,1584406745,EUR,2020-03-17,953.047582
CNY,True,1584406745,EUR,2020-03-17,7.811226
COP,True,1584406745,EUR,2020-03-17,4556.927905
CRC,True,1584406745,EUR,2020-03-17,629.211938
CUC,True,1584406745,EUR,2020-03-17,1.116894
CUP,True,1584406745,EUR,2020-03-17,29.597694
CVE,True,1584406745,EUR,2020-03-17,110.991291
CZK,True,1584406745,EUR,2020-03-17,27.278683
DJF,True,1584406745,EUR,2020-03-17,198.494155
DKK,True,1584406745,EUR,2020-03-17,7.472742
DOP,True,1584406745,EUR,2020-03-17,60.256135
DZD,True,1584406745,EUR,2020-03-17,134.467376
EGP,True,1584406745,EUR,2020-03-17,17.588939
ERN,True,1584406745,EUR,2020-03-17,16.753619
ETB,True,1584406745,EUR,2020-03-17,36.296521
EUR,True,1584406745,EUR,2020-03-17,1.0
FJD,True,1584406745,EUR,2020-03-17,2.547748
FKP,True,1584406745,EUR,2020-03-17,0.912139
GBP,True,1584406745,EUR,2020-03-17,0.912408
GEL,True,1584406745,EUR,2020-03-17,3.389779
GGP,True,1584406745,EUR,2020-03-17,0.912139
GHS,True,1584406745,EUR,2020-03-17,6.237879
GIP,True,1584406745,EUR,2020-03-17,0.912139
GMD,True,1584406745,EUR,2020-03-17,56.838458
GNF,True,1584406745,EUR,2020-03-17,10526.727164
GTQ,True,1584406745,EUR,2020-03-17,8.528587
GYD,True,1584406745,EUR,2020-03-17,232.802244
HKD,True,1584406745,EUR,2020-03-17,8.6782
HNL,True,1584406745,EUR,2020-03-17,27.793879
HRK,True,1584406745,EUR,2020-03-17,7.581818
HTG,True,1584406745,EUR,2020-03-17,105.917927
HUF,True,1584406745,EUR,2020-03-17,344.269761
IDR,True,1584406745,EUR,2020-03-17,16748.999684
ILS,True,1584406745,EUR,2020-03-17,4.196004
IMP,True,1584406745,EUR,2020-03-17,0.912139
INR,True,1584406745,EUR,2020-03-17,83.95138
IQD,True,1584406745,EUR,2020-03-17,1329.103972
IRR,True,1584406745,EUR,2020-03-17,47026.825549
ISK,True,1584406745,EUR,2020-03-17,152.087616
JEP,True,1584406745,EUR,2020-03-17,0.912139
JMD,True,1584406745,EUR,2020-03-17,150.817738
JOD,True,1584406745,EUR,2020-03-17,0.791856
JPY,True,1584406745,EUR,2020-03-17,119.105031
KES,True,1584406745,EUR,2020-03-17,115.491975
KGS,True,1584406745,EUR,2020-03-17,81.421242
KHR,True,1584406745,EUR,2020-03-17,4517.836496
KMF,True,1584406745,EUR,2020-03-17,493.527553
KPW,True,1584406745,EUR,2020-03-17,1005.259767
KRW,True,1584406745,EUR,2020-03-17,1382.167863
KWD,True,1584406745,EUR,2020-03-17,0.345098
KYD,True,1584406745,EUR,2020-03-17,0.930109
KZT,True,1584406745,EUR,2020-03-17,486.13664
LAK,True,1584406745,EUR,2020-03-17,9945.941998
LBP,True,1584406745,EUR,2020-03-17,1694.162371
LKR,True,1584406745,EUR,2020-03-17,205.910517
LRD,True,1584406745,EUR,2020-03-17,221.145486
LSL,True,1584406745,EUR,2020-03-17,18.484023
LTL,True,1584406745,EUR,2020-03-17,3.297898
LVL,True,1584406745,EUR,2020-03-17,0.675598
LYD,True,1584406745,EUR,2020-03-17,1.569223
MAD,True,1584406745,EUR,2020-03-17,10.666945
MDL,True,1584406745,EUR,2020-03-17,19.745408
MGA,True,1584406745,EUR,2020-03-17,2102.876972
MKD,True,1584406745,EUR,2020-03-17,61.676055
MMK,True,1584406745,EUR,2020-03-17,1572.509376
MNT,True,1584406745,EUR,2020-03-17,3090.078053
MOP,True,1584406745,EUR,2020-03-17,8.929706
MRO,True,1584406745,EUR,2020-03-17,398.731534
MUR,True,1584406745,EUR,2020-03-17,42.95035
MVR,True,1584406745,EUR,2020-03-17,17.233797
MWK,True,1584406745,EUR,2020-03-17,820.917017
MXN,True,1584406745,EUR,2020-03-17,25.348738
MYR,True,1584406745,EUR,2020-03-17,4.819441
MZN,True,1584406745,EUR,2020-03-17,73.6142
NAD,True,1584406745,EUR,2020-03-17,18.484518
NGN,True,1584406745,EUR,2020-03-17,408.783322
NIO,True,1584406745,EUR,2020-03-17,38.141793
NOK,True,1584406745,EUR,2020-03-17,11.469006
NPR,True,1584406745,EUR,2020-03-17,132.325447
NZD,True,1584406745,EUR,2020-03-17,1.845611
OMR,True,1584406745,EUR,2020-03-17,0.429847
PAB,True,1584406745,EUR,2020-03-17,1.116096
PEN,True,1584406745,EUR,2020-03-17,3.934262
PGK,True,1584406745,EUR,2020-03-17,3.803017
PHP,True,1584406745,EUR,2020-03-17,58.285139
PKR,True,1584406745,EUR,2020-03-17,177.062475
PLN,True,1584406745,EUR,2020-03-17,4.457067
PYG,True,1584406745,EUR,2020-03-17,7327.439774
QAR,True,1584406745,EUR,2020-03-17,4.066583
RON,True,1584406745,EUR,2020-03-17,4.838494
RSD,True,1584406745,EUR,2020-03-17,117.67036
RUB,True,1584406745,EUR,2020-03-17,83.087207
RWF,True,1584406745,EUR,2020-03-17,1047.088213
SAR,True,1584406745,EUR,2020-03-17,4.191823
SBD,True,1584406745,EUR,2020-03-17,9.226531
SCR,True,1584406745,EUR,2020-03-17,15.307013
SDG,True,1584406745,EUR,2020-03-17,61.708419
SEK,True,1584406745,EUR,2020-03-17,10.913899
SGD,True,1584406745,EUR,2020-03-17,1.585738
SHP,True,1584406745,EUR,2020-03-17,0.912139
SLL,True,1584406745,EUR,2020-03-17,10833.872406
SOS,True,1584406745,EUR,2020-03-17,653.382581
SRD,True,1584406745,EUR,2020-03-17,8.329817
STD,True,1584406745,EUR,2020-03-17,24630.611113
SVC,True,1584406745,EUR,2020-03-17,9.766214
SYP,True,1584406745,EUR,2020-03-17,575.199141
SZL,True,1584406745,EUR,2020-03-17,18.484753
THB,True,1584406745,EUR,2020-03-17,35.927693
TJS,True,1584406745,EUR,2020-03-17,10.841915
TMT,True,1584406745,EUR,2020-03-17,3.920298
TND,True,1584406745,EUR,2020-03-17,3.189832
TOP,True,1584406745,EUR,2020-03-17,2.636485
TRY,True,1584406745,EUR,2020-03-17,7.183638
TTD,True,1584406745,EUR,2020-03-17,7.534947
TWD,True,1584406745,EUR,2020-03-17,33.775436
TZS,True,1584406745,EUR,2020-03-17,2569.186951
UAH,True,1584406745,EUR,2020-03-17,29.725611
UGX,True,1584406745,EUR,2020-03-17,4179.548411
USD,True,1584406745,EUR,2020-03-17,1.116894
UYU,True,1584406745,EUR,2020-03-17,48.468829
UZS,True,1584406745,EUR,2020-03-17,10627.247422
VEF,True,1584406745,EUR,2020-03-17,11.154983
VND,True,1584406745,EUR,2020-03-17,25918.085907
VUV,True,1584406745,EUR,2020-03-17,134.006991
WST,True,1584406745,EUR,2020-03-17,3.087548
XAF,True,1584406745,EUR,2020-03-17,654.409638
XAG,True,1584406745,EUR,2020-03-17,0.084693
XAU,True,1584406745,EUR,2020-03-17,0.000737
XCD,True,1584406745,EUR,2020-03-17,3.018463
XDR,True,1584406745,EUR,2020-03-17,0.809685
XOF,True,1584406745,EUR,2020-03-17,653.38338
XPF,True,1584406745,EUR,2020-03-17,120.010102
YER,True,1584406745,EUR,2020-03-17,279.614533
ZAR,True,1584406745,EUR,2020-03-17,18.539104
ZMK,True,1584406745,EUR,2020-03-17,10053.385989
ZMW,True,1584406745,EUR,2020-03-17,17.985018
ZWL,True,1584406745,EUR,2020-03-17,359.6399
